NO.	ANG	POL	book_unit_lesson	part_of_speech	audio
362	seed	nasiono, ziarno	BG1_U3_L4	Słownictwo ogólne	0
363	nut 	orzech	BG1_U3_L4	Słownictwo ogólne	0
364	fruit 	owoc	BG1_U3_L4	Słownictwo ogólne	0
365	shoe	but	BG1_U3_L4	Słownictwo ogólne	0
366	butter	masło	BG1_U4_L1	Gotowanie	0
367	chicken	kurczak	BG1_U4_L1	Gotowanie	0
368	cookery book	książka kucharska	BG1_U4_L1	Gotowanie	0
369	cup	filiżanka	BG1_U4_L1	Gotowanie	0
370	delicious	smaczne	BG1_U4_L1	Gotowanie	0
371	egg	jajko	BG1_U4_L1	Gotowanie	0
372	fish soup	zupa rybna	BG1_U4_L1	Gotowanie	0
373	flour	mąka	BG1_U4_L1	Gotowanie	0
374	glass	szklanka	BG1_U4_L1	Gotowanie	0
375	ingredient	składnik	BG1_U4_L1	Gotowanie	0
376	milk	mleko	BG1_U4_L1	Gotowanie	0
377	oil	olej	BG1_U4_L1	Gotowanie	0
378	omelette	omlet	BG1_U4_L1	Gotowanie	0
379	onion	cebula	BG1_U4_L1	Gotowanie	0
380	pancake	naleśnik	BG1_U4_L1	Gotowanie	0
381	pinch	szczypta	BG1_U4_L1	Gotowanie	0
382	potato	ziemniak	BG1_U4_L1	Gotowanie	0
383	prepare	przygotować	BG1_U4_L1	Gotowanie	0
384	salt	sól	BG1_U4_L1	Gotowanie	0
385	spoon	łyżeczka	BG1_U4_L1	Gotowanie	0
386	sugar	cukier	BG1_U4_L1	Gotowanie	0
387	water	woda	BG1_U4_L1	Gotowanie	0
388	wine	wino	BG1_U4_L1	Gotowanie	0
389	countable	policzalne	BG1_U4_L1	Słownictwo ogólne	0
390	delicious	smaczne	BG1_U4_L1	Słownictwo ogólne	0
391	money	pieniądze	BG1_U4_L1	Słownictwo ogólne	0
392	need	potrzebować	BG1_U4_L1	Słownictwo ogólne	0
393	well	cóż, więc	BG1_U4_L1	Słownictwo ogólne	0
394	surprise	niespodzianka	BG1_U4_L1	Słownictwo ogólne	0
395	uncountable	niepoliczalne	BG1_U4_L1	Słownictwo ogólne	0
396	how much	ile	BG1_U4_L1	Słownictwo ogólne	0
397	how many	ile	BG1_U4_L1	Słownictwo ogólne	0
398	bowl	miska	BG1_U4_L2	Gotowanie	0
399	break the eggs	rozbić jajka	BG1_U4_L2	Gotowanie	0
400	cake tin	foremka do ciasta	BG1_U4_L2	Gotowanie	0
401	chop	posiekać, pokroić	BG1_U4_L2	Gotowanie	0
402	cut	pociąć	BG1_U4_L2	Gotowanie	0
403	fork	widelec	BG1_U4_L2	Gotowanie	0
404	knife	nóż	BG1_U4_L2	Gotowanie	0
405	melt	rozpuścić	BG1_U4_L2	Gotowanie	0
406	mix	wymieszać	BG1_U4_L2	Gotowanie	0
407	microwave	mikrofalówka	BG1_U4_L2	Gotowanie	0
408	oven	piec	BG1_U4_L2	Gotowanie	0
409	pinch	szczypta	BG1_U4_L2	Gotowanie	0
410	teaspoon	mała łyżeczka	BG1_U4_L2	Gotowanie	0
411	add	dodać	BG1_U4_L2	Słownictwo ogólne	0
412	adventure	przygoda	BG1_U4_L2	Słownictwo ogólne	0
